room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
2024278,9900768,Private room,,TS29,13,4.5,1,1.0,39.0,5.0,1.323322,103.852148,2016-06-11 06:02:28.361033
12838066,64515931,Private room,,TS17,1,,2,1.0,35.0,1.0,1.307614,103.861444,2016-06-11 06:02:17.966651
11244518,7259684,Entire home/apt,,TS20,4,5.0,2,1.0,76.0,2.0,1.296048,103.841924,2016-06-11 06:02:17.152508
5471625,28380500,Private room,,TS15,7,5.0,1,1.0,45.0,7.0,1.305352,103.861207,2016-06-11 06:02:12.297340
9532339,23069584,Private room,,MK18,14,5.0,2,1.0,58.0,4.0,1.359044,103.847348,2016-06-11 06:02:03.621361
10128390,51957675,Entire home/apt,,TS27,1,,5,1.0,133.0,1.0,1.301091,103.840546,2016-06-11 06:01:40.363687
9391037,10861133,Private room,,TS17,4,3.5,6,1.0,103.0,1.0,1.314303,103.858806,2016-06-11 06:01:20.903114
11711712,10248444,Entire home/apt,,TS20,0,,4,1.0,96.0,1.0,1.29715,103.838162,2016-06-11 06:01:17.217379
7736532,3835034,Private room,,MK25,7,5.0,2,1.0,61.0,1.0,1.302416,103.898829,2016-06-11 06:01:14.199944
5973183,31008861,Entire home/apt,,MK31,18,4.5,3,2.0,144.0,1.0,1.378542,103.96119,2016-06-11 06:00:58.365840
8620487,44803514,Private room,,TS18,2,,6,1.0,123.0,1.0,1.316143,103.856898,2016-06-11 06:00:56.524328
7501657,18773713,Private room,,MK04,0,,1,1.0,54.0,1.0,1.312712,103.797333,2016-06-11 06:00:41.899294
9801614,50506218,Private room,,MK26,0,,2,1.0,42.0,1.0,1.309724,103.914457,2016-06-11 06:00:11.611389
13054223,72101544,Private room,,MK22,0,,2,1.0,52.0,1.0,1.367279,103.877117,2016-06-11 06:00:08.779408
12568312,48291332,Private room,,MK24,0,,1,1.0,30.0,1.0,1.313677,103.882561,2016-06-11 06:00:06.048097
10346306,6904615,Private room,,TS16,0,,3,1.0,58.0,1.0,1.305616,103.852368,2016-06-11 05:59:32.373463
13286411,73893639,Private room,,TS18,0,,2,1.0,44.0,1.0,1.315946,103.852531,2016-06-11 05:59:17.586193
12299369,1933664,Private room,,MK26,0,,2,1.0,58.0,2.0,1.312925,103.904479,2016-06-11 05:59:17.029329
11410306,14521340,Private room,,MK24,4,5.0,2,1.0,66.0,1.0,1.333271,103.887944,2016-06-11 05:59:00.569341
13386475,76107460,Private room,,MK17,0,,2,1.0,32.0,1.0,1.324133,103.863087,2016-06-11 05:58:55.049526
8817386,32947726,Private room,,MK15,0,,2,1.0,76.0,3.0,1.348046,103.835678,2016-06-11 05:58:46.927865
3052944,2677354,Entire home/apt,,TS18,17,4.5,4,2.0,199.0,2.0,1.314101,103.847043,2016-06-11 05:58:32.281456
6950768,229339,Entire home/apt,,MK01,9,4.0,3,0.0,108.0,1.0,1.284715,103.83385,2016-06-11 05:58:25.410416
4979495,25670384,Private room,,MK06,0,,2,1.0,62.0,2.0,1.345259,103.718283,2016-06-11 05:58:23.221427
10716737,43043281,Shared room,,MK26,6,4.5,4,1.0,13.0,1.0,1.314642,103.89789,2016-06-11 05:57:42.801302
3954113,6727323,Private room,,MK17,62,4.5,2,1.0,60.0,1.0,1.345175,103.860936,2016-06-11 05:57:38.064417
9513005,38730349,Private room,,TS17,9,4.5,2,1.0,53.0,3.0,1.31913,103.861027,2016-06-11 05:57:29.730165
8888648,882659,Entire home/apt,,TS03,7,5.0,3,1.0,179.0,4.0,1.275258,103.845887,2016-06-11 05:57:25.124894
6723509,28382771,Entire home/apt,,MK26,21,4.5,5,2.0,168.0,2.0,1.312498,103.911881,2016-06-11 05:57:21.583530
888196,4710327,Entire home/apt,,TS28,13,5.0,8,4.0,196.0,2.0,1.31314,103.840809,2016-06-11 05:57:06.488313
11874809,63316512,Private room,,MK29,0,,1,1.0,45.0,2.0,1.35621,103.948487,2016-06-11 05:57:01.039365
5061923,25976660,Entire home/apt,,MK05,0,,2,1.0,76.0,1.0,1.339404,103.773301,2016-06-11 05:56:57.984695
