room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
15288193,14836777,Private room,,MK18,0,,2,1.0,41.0,1.0,1.354782,103.86705,2016-10-12 02:52:52.037684
12368074,65679130,Shared room,,TS17,0,,1,1.0,44.0,1.0,1.309396,103.857111,2016-10-12 02:52:45.576273
5877702,15553995,Entire home/apt,,TS17,1,,3,0.0,103.0,1.0,1.310081,103.860689,2016-10-12 02:52:41.444521
11442496,283399,Shared room,,MK21,4,5.0,1,1.0,15.0,,1.396024,103.909847,2016-10-12 02:52:37.943241
14332483,87731750,Shared room,,TS17,2,,6,1.0,16.0,1.0,1.316067,103.860233,2016-10-12 02:52:33.055747
14397796,14562650,Entire home/apt,,TS24,2,,4,0.0,90.0,,1.296611,103.82922,2016-10-12 02:52:16.601999
9288135,48229188,Shared room,,TS17,47,3.5,16,1.0,14.0,1.0,1.311302,103.857676,2016-10-12 02:51:51.043101
14935293,36011179,Entire home/apt,,TS13,1,,2,1.0,112.0,1.0,1.299547,103.855358,2016-10-12 02:51:42.576596
5797755,25001210,Entire home/apt,,MK26,83,4.5,2,1.0,60.0,2.0,1.308666,103.905281,2016-10-12 02:51:39.697582
11865064,8527085,Entire home/apt,,TS21,1,,9,2.0,254.0,1.0,1.303504,103.830911,2016-10-12 02:51:36.548158
3223887,16188707,Private room,,MK05,2,,2,1.0,53.0,1.0,1.316959,103.760353,2016-10-12 02:51:32.806494
11865801,8527085,Entire home/apt,,TS21,4,4.5,13,3.0,375.0,2.0,1.304526,103.832839,2016-10-12 02:51:29.004057
14902441,1836305,Private room,,MK04,0,,1,1.0,81.0,4.0,1.316031,103.798318,2016-10-12 02:51:24.273015
13399655,13943420,Entire home/apt,,TS19,1,,4,1.0,96.0,,1.304472,103.848385,2016-10-12 02:51:17.088461
12211385,65679130,Shared room,,TS17,7,4.0,2,1.0,44.0,1.0,1.311368,103.857376,2016-10-12 02:51:11.904167
11005669,54976691,Entire home/apt,,TS21,12,5.0,2,1.0,87.0,1.0,1.300829,103.838092,2016-10-12 02:51:09.913722
8477283,28382771,Entire home/apt,,TS24,2,,2,1.0,187.0,2.0,1.292131,103.817335,2016-10-12 02:51:06.647879
14716581,58266048,Private room,,MK31,0,,3,1.0,48.0,,1.362824,103.957963,2016-10-12 02:51:00.419605
14240227,51549370,Entire home/apt,,MK01,2,,4,2.0,196.0,1.0,1.283982,103.831479,2016-10-12 02:50:52.235076
9158687,7687831,Private room,,MK26,1,,2,1.0,60.0,5.0,1.315297,103.903327,2016-10-12 02:50:43.702865
14889861,93412076,Shared room,,MK24,1,,1,1.0,22.0,2.0,1.319449,103.89139,2016-10-12 02:50:25.005547
9976083,28326594,Entire home/apt,,MK01,0,,3,1.0,112.0,2.0,1.284329,103.831219,2016-10-12 02:50:24.627580
15108622,8527085,Entire home/apt,,TS27,0,,8,2.0,178.0,2.0,1.301151,103.84113,2016-10-12 02:50:21.002107
11839854,15503071,Private room,,TS18,12,4.5,2,1.0,52.0,3.0,1.314873,103.854082,2016-10-12 02:50:16.758754
12788077,32184450,Entire home/apt,,MK17,0,,3,1.0,113.0,3.0,1.323669,103.851996,2016-10-12 02:50:15.755139
3259132,16482978,Private room,,MK31,1,,3,1.0,36.0,7.0,1.377596,103.957053,2016-10-12 02:50:13.973430
10674936,55140271,Private room,,MK23,0,,2,1.0,60.0,1.0,1.320849,103.912036,2016-10-12 02:50:08.613405
