room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
10020690,46545593,Shared room,,TS17,11,4.5,16,1.0,43.0,,1.310528,103.86147,2017-03-12 14:15:10.043681
14489603,87731750,Shared room,,TS17,13,4.5,12,1.0,43.0,,1.314461,103.8585,2017-03-12 14:15:09.335073
15792207,76268406,Shared room,,TS14,4,5.0,16,1.0,46.0,,1.30241,103.86023,2017-03-12 14:15:08.156452
14750235,91165081,Shared room,,MK24,0,0.0,3,1.0,55.0,,1.314674,103.882077,2017-03-12 14:15:08.151833
17672050,117765997,Shared room,,TS17,0,0.0,16,1.0,47.0,,1.31092,103.860365,2017-03-12 14:15:06.720862
17455261,118173030,Shared room,,MK06,0,0.0,10,1.0,113.0,,1.341216,103.719543,2017-03-12 14:15:01.234688
9910891,50960671,Shared room,,TS04,17,5.0,16,1.0,72.0,,1.286596,103.850513,2017-03-12 14:14:59.073205
13916549,81373064,Shared room,,TS07,1,0.0,4,1.0,64.0,,1.28861,103.848624,2017-03-12 14:14:59.066211
10007970,50960671,Shared room,,TS04,36,4.5,16,1.0,66.0,,1.28653,103.84851,2017-03-12 14:14:59.049949
3717196,17526618,Shared room,,TS03,17,4.0,16,1.0,43.0,,1.281064,103.845171,2017-03-12 14:14:58.364715
3717217,17526618,Shared room,,TS05,38,4.5,16,1.0,43.0,,1.281984,103.843604,2017-03-12 14:14:57.270756
3861984,15745786,Shared room,,TS04,6,4.0,4,1.0,43.0,,1.287912,103.8494,2017-03-12 14:14:55.963120
15905849,103099105,Shared room,,TS03,1,0.0,16,1.0,58.0,,1.279922,103.844829,2017-03-12 14:14:55.950344
16945653,47611818,Shared room,,TS11,0,0.0,4,1.0,43.0,,1.297392,103.852307,2017-03-12 14:14:55.395656
12294297,66270559,Shared room,,MK24,0,0.0,2,1.0,42.0,,1.316231,103.871987,2017-03-12 14:14:55.385647
9869425,50158481,Shared room,,TS17,2,0.0,2,1.0,47.0,,1.31292,103.859827,2017-03-12 14:14:55.380495
16417720,107599807,Shared room,,MK05,0,0.0,2,1.0,52.0,,1.339035,103.747897,2017-03-12 14:14:54.587715
13902391,6219420,Shared room,,MK03,1,0.0,12,1.0,29.0,,1.292766,103.768432,2017-03-12 14:14:53.260311
10041012,46545593,Shared room,,TS17,12,4.5,16,1.0,29.0,,1.310786,103.861711,2017-03-12 14:14:52.720527
16823117,111914134,Shared room,,TS14,0,0.0,6,1.0,35.0,,1.304171,103.859663,2017-03-12 14:14:52.692095
9949544,51130590,Shared room,,TS16,33,4.0,16,1.0,35.0,,1.307379,103.855969,2017-03-12 14:14:51.384595
10040828,46545593,Shared room,,TS17,17,4.5,16,1.0,29.0,,1.313252,103.861678,2017-03-12 14:14:51.364227
2575497,13188256,Shared room,,MK05,0,0.0,2,1.0,36.0,,1.322696,103.736401,2017-03-12 14:14:50.797553
8620189,44803514,Shared room,,TS18,25,4.5,10,1.0,31.0,,1.315799,103.857199,2017-03-12 14:14:50.795125
16524551,100353323,Shared room,,TS06,1,0.0,10,1.0,37.0,,1.283529,103.844319,2017-03-12 14:14:50.793032
10459862,47611818,Shared room,,TS12,0,0.0,2,1.0,41.0,,1.300111,103.853963,2017-03-12 14:14:50.780816
9963606,51130590,Shared room,,TS16,20,3.5,6,1.0,39.0,,1.307535,103.856936,2017-03-12 14:14:50.772082
17565315,66697452,Shared room,,TS17,0,0.0,2,1.0,35.0,,1.311484,103.859728,2017-03-12 14:14:50.769212
14332483,87731750,Shared room,,TS17,2,0.0,6,1.0,33.0,,1.316067,103.860233,2017-03-12 14:14:50.761946
16803564,46545593,Shared room,,TS17,3,4.0,16,1.0,29.0,,1.31067,103.860031,2017-03-12 14:14:50.758742
16822702,111914134,Shared room,,TS14,0,0.0,8,1.0,33.0,,1.302616,103.858999,2017-03-12 14:14:50.753702
