room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1617195,7614592,Entire home/apt,,TS29,14,4.5,5.0,2.0,273.0,2.0,1.319151,103.846375,2015-06-28 23:01:42.658
1620579,7667545,Shared room,,TS17,1,4.0,6.0,1.0,43.0,1.0,1.311028,103.8605,2015-06-28 23:49:37.553
1620613,7667545,Private room,,TS17,7,4.0,6.0,1.0,113.0,1.0,1.311611,103.861642,2015-06-29 00:20:19.925
1622505,1584407,Private room,,MK25,5,5.0,2.0,1.0,165.0,2.0,1.30415,103.901921,2015-06-29 01:42:02.605
1625216,3373805,Private room,,TS20,12,4.5,2.0,1.0,135.0,7.0,1.296068,103.840487,2015-06-29 00:15:46.582
1629858,8662585,Private room,,TS08,0,,2.0,1.0,94.0,1.0,1.285344,103.843309,2015-06-29 00:45:07.316
1634407,8682233,Private room,,MK25,0,,2.0,1.0,113.0,1.0,1.31181,103.8966,2015-06-28 23:52:54.610
1638380,8354743,Private room,,MK21,9,4.5,2.0,1.0,51.0,1.0,1.403744,103.904005,2015-06-29 01:44:49.567
1643945,8725237,Private room,,MK18,0,,3.0,1.0,203.0,1.0,1.390881,103.853029,2015-06-29 00:51:18.257
1646799,8739529,Private room,,TS08,1,5.0,,1.0,226.0,1.0,1.287427,103.840855,2015-06-29 01:21:43.103
1646909,8739736,Private room,,MK05,0,,1.0,1.0,75.0,14.0,1.341261,103.759917,2015-06-28 23:17:46.484
1649309,1653646,Private room,,TS12,2,5.0,2.0,1.0,118.0,1.0,1.297286,103.855596,2015-06-29 00:40:28.848
1652780,5984612,Private room,,TS28,9,5.0,2.0,1.0,113.0,,1.316552,103.843909,2015-06-28 23:02:01.177
1653592,571327,Private room,,TS23,33,5.0,2.0,1.0,88.0,2.0,1.277912,103.839919,2015-06-28 23:38:41.471
1654284,8771564,Private room,,MK11,2,4.5,2.0,1.0,52.0,3.0,1.386978,103.744307,2015-06-28 16:22:05.401
1654840,8773916,Private room,,TS14,0,,3.0,1.0,102.0,1.0,1.302922,103.857998,2015-06-28 23:13:18.735
1661992,8806507,Private room,,MK25,0,,1.0,1.0,75.0,1.0,1.297993,103.884014,2015-06-28 22:59:29.493
1662014,8806580,Private room,,TS17,0,,1.0,1.0,94.0,5.0,1.310885,103.857485,2015-06-28 23:19:13.316
1669568,2273043,Entire home/apt,,MK17,59,4.5,5.0,2.0,162.0,1.0,1.327068,103.848,2015-06-29 01:09:40.065
1678719,882659,Entire home/apt,,TS23,32,4.5,4.0,2.0,310.0,3.0,1.27827,103.838367,2015-06-29 00:14:31.154
1678730,882659,Entire home/apt,,TS23,44,5.0,4.0,2.0,310.0,4.0,1.279311,103.839703,2015-06-29 00:24:45.423
1678744,8881470,Shared room,,TS06,32,4.5,1.0,1.0,47.0,1.0,1.284248,103.843199,2015-06-29 00:37:20.401
1678754,8881470,Private room,,TS06,0,,,1.0,282.0,1.0,1.284462,103.844595,2015-06-29 00:44:54.159
1678755,8881470,Shared room,,TS08,18,4.5,1.0,1.0,47.0,1.0,1.284666,103.843274,2015-06-29 00:45:34.614
1684953,8908403,Entire home/apt,,TS22,7,5.0,4.0,1.0,188.0,2.0,1.279142,103.83742,2015-06-29 01:28:38.656
1711237,1786440,Entire home/apt,,MK24,34,4.5,3.0,1.0,98.0,2.0,1.314441,103.884056,2015-06-29 00:19:26.441
1715479,9046411,Entire home/apt,,TS11,4,4.5,2.0,1.0,211.0,7.0,1.298574,103.847485,2015-06-28 22:36:54.168
1720090,606127,Private room,,TS12,4,4.5,1.0,1.0,75.0,1.0,1.302361,103.851306,2015-06-28 22:39:52.214
1725807,9095732,Entire home/apt,,MK27,11,4.5,4.0,2.0,214.0,5.0,1.315457,103.946149,2015-06-29 00:00:06.411
1728983,277862,Private room,,MK26,6,5.0,2.0,1.0,127.0,2.0,1.307838,103.912786,2015-06-29 01:26:50.354
1748912,9202439,Entire home/apt,,TS09,1,5.0,3.0,1.0,141.0,7.0,1.289844,103.845668,2015-06-29 00:57:45.121
1759929,882659,Entire home/apt,,TS22,15,4.5,3.0,2.0,287.0,5.0,1.279166,103.838272,2015-06-29 01:03:50.938
1770505,6754118,Private room,,TS20,1,,2.0,1.0,94.0,1.0,1.295715,103.838471,2015-06-28 16:19:54.575
1778907,6609641,Entire home/apt,,TS26,1,2.0,2.0,0.0,174.0,1.0,1.316017,103.826097,2015-06-29 01:30:27.678
1796221,8292269,Entire home/apt,,TS21,24,3.5,2.0,1.0,139.0,1.0,1.299768,103.839463,2015-06-29 00:12:57.889
1805143,9461671,Entire home/apt,,MK25,3,4.0,5.0,2.0,235.0,3.0,1.313699,103.885626,2015-06-28 23:37:59.391
1816463,367042,Private room,,MK28,2,5.0,4.0,1.0,89.0,2.0,1.345657,103.959942,2015-06-29 00:29:07.828
1817551,882659,Private room,,TS30,8,5.0,2.0,1.0,127.0,10.0,1.280497,103.851484,2015-06-29 01:22:16.949
1822004,882659,Entire home/apt,,TS23,14,5.0,4.0,2.0,310.0,3.0,1.278152,103.838387,2015-06-28 23:09:39.832
1828368,9566368,Private room,,MK04,29,5.0,2.0,1.0,113.0,2.0,1.312982,103.795008,2015-06-28 16:27:02.169
1833950,6609641,Entire home/apt,,TS26,6,4.5,2.0,1.0,149.0,7.0,1.317418,103.825722,2015-06-29 01:33:28.796
1834876,5184040,Private room,,MK25,12,4.5,2.0,1.0,66.0,1.0,1.309541,103.89461,2015-06-29 00:12:37.019
1837348,9605644,Entire home/apt,,TS19,0,,4.0,2.0,277.0,5.0,1.30343,103.847975,2015-06-28 22:53:42.613
1845615,9642125,Entire home/apt,,TS19,1,4.0,,2.0,347.0,1.0,1.305243,103.847805,2015-06-28 23:59:55.024
1846341,5184040,Private room,,MK25,3,4.5,2.0,1.0,66.0,1.0,1.309587,103.895036,2015-06-28 23:24:42.724
1846382,5184040,Private room,,MK25,22,4.5,2.0,1.0,66.0,1.0,1.308386,103.894543,2015-06-28 23:58:57.476
1846420,5184040,Private room,,MK25,11,4.5,2.0,1.0,66.0,1.0,1.308579,103.895246,2015-06-29 00:32:58.403
1846439,5184040,Private room,,MK25,25,4.5,2.0,1.0,80.0,1.0,1.309865,103.894936,2015-06-29 00:49:04.438
1848024,9653330,Entire home/apt,,MK24,8,5.0,,2.0,167.0,2.0,1.313351,103.879692,2015-06-29 01:27:30.653
1848152,1305358,Private room,,TS22,2,5.0,2.0,1.0,61.0,7.0,1.281896,103.838489,2015-06-28 23:38:36.830
1851937,9671472,Entire home/apt,,MK03,2,5.0,4.0,3.0,213.0,4.0,1.294735,103.76549,2015-06-28 22:47:32.593
