room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
16274806,1405,119032316,Shared room,,Singapore,,TS16,3,4.5,1,1.0,,24.0,,2017-06-28 04:24:28.820839,1.308639,103.856229,0101000020E6100000C138B874CCF659408352B4722FF0F43F
10030097,1405,46545593,Shared room,,Singapore,,TS17,62,4.0,1,1.0,,14.0,,2017-06-28 04:24:28.816552,1.311816,103.861738,0101000020E61000001CEE23B726F759409FE925C632FDF43F
16803564,1405,46545593,Shared room,,Singapore,,TS17,6,3.5,16,1.0,,14.0,,2017-06-28 04:24:28.813760,1.31067,103.860031,0101000020E6100000F5A276BF0AF75940B8921D1B81F8F43F
9967697,1405,45368183,Shared room,,Singapore,,TS03,11,4.5,8,1.0,,19.0,,2017-06-28 04:24:28.808146,1.283313,103.846255,0101000020E6100000E544BB0A29F65940A18158367388F43F
5980604,1405,27392893,Shared room,,Singapore,,MK01,3,4.5,16,1.0,,21.0,,2017-06-28 04:24:28.804499,1.27696,103.831631,0101000020E6100000BFD53A7139F5594075CDE49B6D6EF43F
9635113,1405,15222528,Shared room,,Singapore,,MK29,2,0.0,2,1.0,,30.0,,2017-06-28 04:24:28.801969,1.378119,103.941705,0101000020E6100000B35E0CE544FC594089F02F82C60CF63F
9963606,1405,51130590,Shared room,,Singapore,,TS16,20,3.5,6,1.0,,19.0,,2017-06-28 04:24:28.800045,1.307535,103.856936,0101000020E6100000F7B0170AD8F659407901F6D1A9EBF43F
6483999,1405,27392893,Shared room,,Singapore,,MK01,1,0.0,16,1.0,,19.0,,2017-06-28 04:24:28.797449,1.278347,103.830063,0101000020E6100000A8A78FC01FF559400F09DFFB1B74F43F
12211392,1405,65679130,Shared room,,Singapore,,TS18,14,4.5,16,1.0,,20.0,,2017-06-28 04:24:28.794658,1.310032,103.853366,0101000020E61000002C616D8C9DF65940626A4B1DE4F5F43F
16183428,1405,46545593,Shared room,,Singapore,,TS17,2,0.0,16,1.0,,30.0,,2017-06-28 04:24:28.790454,1.311919,103.860882,0101000020E6100000C4EDD0B018F75940320400C79EFDF43F
10023519,1405,46545593,Shared room,,Singapore,,TS17,18,4.0,16,1.0,,14.0,,2017-06-28 04:24:28.786797,1.310276,103.860291,0101000020E6100000C382FB010FF7594038BD8BF7E3F6F43F
